Amplitude A,Amplitude B,Amplitude C,Ration A/B,Ratio A/C,Ratio B/A,Ratio B/C,Ratio C/A,Ratio C/B,STD Abw. A,STD Abw. B,STD Abw. C,SW OK A,SW OK B,SW OK C,Schwelle A,Schwelle B,Schwelle C
6.07031,1.77344,1.35938,2.25781,4.16406,0.4375,1.83594,0.23438,0.53906,3.64063,1.53906,0.83594,82.01563,73.86719,100,5.7,1.65,1.975
6.07031,1.77344,1.35938,2.28125,4.20313,0.4375,1.83594,0.23438,0.53906,3.64063,1.53906,0.83594,81.03125,74.11719,100,5.7,1.65,1.975
5.32813,1.92188,1.07031,2.28125,4.20313,0.4375,1.83594,0.23438,0.53906,3.63281,1.53125,0.83594,81.03125,74.11719,100,5.7,1.65,1.975
5.32813,1.92188,1.07031,2.29688,4.25,0.42969,1.84375,0.23438,0.53906,3.63281,1.53125,0.83594,80.5,74.11719,100,5.7,1.65,1.975
3.13281,2.80469,1.46875,2.29688,4.25,0.42969,1.84375,0.23438,0.53906,3.64063,1.55469,0.84375,80.5,74.11719,100,5.7,1.65,1.975
3.13281,2.80469,1.46875,2.26563,4.20313,0.4375,1.85156,0.23438,0.53125,3.64063,1.55469,0.84375,80.5,75.24219,100,5.7,1.65,1.975
4.64844,1.10938,1.32031,2.26563,4.20313,0.4375,1.85156,0.23438,0.53125,3.64063,1.53906,0.84375,80.5,75.24219,100,5.7,1.65,1.975
4.64844,1.10938,1.32031,2.28906,4.17969,0.42969,1.82813,0.23438,0.54688,3.64063,1.53906,0.84375,80.5,73.78906,100,5.7,1.65,1.975
3.78125,1.41406,1.14063,2.28906,4.17969,0.42969,1.82813,0.23438,0.54688,3.63281,1.53906,0.84375,80.5,73.78906,100,5.7,1.65,1.975
3.78125,1.41406,1.14063,2.30469,4.17969,0.42969,1.8125,0.23438,0.54688,3.63281,1.53906,0.84375,80.5,72.46875,100,5.7,1.65,1.975
5.98438,1.28125,1.5625,2.30469,4.17969,0.42969,1.8125,0.23438,0.54688,3.66406,1.53906,0.85156,80.5,72.46875,100,5.7,1.65,1.975
5.98438,1.28125,1.5625,2.33594,4.17188,0.42188,1.78125,0.23438,0.55469,3.66406,1.53906,0.85156,80.00781,71.64063,100,5.7,1.65,1.975
8.20313,2.25,1.50781,2.33594,4.17188,0.42188,1.78125,0.23438,0.55469,3.75781,1.55469,0.85156,80.00781,71.64063,100,5.7,1.65,1.975
8.20313,2.25,1.50781,2.38281,4.24219,0.41406,1.77344,0.23438,0.55469,3.75781,1.55469,0.85156,78.58594,70.70313,100,5.7,1.65,1.975
5.40625,4.42969,1.79688,2.38281,4.24219,0.41406,1.77344,0.23438,0.55469,3.75781,1.58594,0.86719,78.58594,70.70313,100,5.7,1.65,1.975
5.40625,4.42969,1.79688,2.36719,4.20313,0.42188,1.77344,0.23438,0.5625,3.75781,1.58594,0.86719,77.97656,70.70313,99.88281,5.7,1.65,1.975
4.67188,2.5625,1.25,2.36719,4.20313,0.42188,1.77344,0.23438,0.5625,3.72656,1.59375,0.875,77.97656,70.70313,99.88281,5.7,1.65,1.975
4.67188,2.5625,1.25,2.35156,4.16406,0.42188,1.76563,0.23438,0.5625,3.72656,1.59375,0.875,77.97656,70.70313,99.88281,5.7,1.65,1.975
2.55469,3.57813,1.50781,2.35156,4.16406,0.42188,1.76563,0.23438,0.5625,3.72656,1.63281,0.875,77.97656,70.70313,99.88281,5.7,1.65,1.975
2.55469,3.57813,1.50781,2.32031,4.14063,0.42969,1.78125,0.23438,0.55469,3.72656,1.63281,0.875,77.97656,70.70313,99.88281,5.7,1.65,1.975
4.47656,1.67188,1.07031,2.32031,4.14063,0.42969,1.78125,0.23438,0.55469,3.72656,1.63281,0.875,77.97656,70.70313,99.88281,5.7,1.65,1.975
4.47656,1.67188,1.07031,2.30469,4.10938,0.42969,1.77344,0.24219,0.55469,3.72656,1.63281,0.875,77.97656,70.41406,99.88281,5.7,1.65,1.975
8.46875,2.05469,1.51563,2.30469,4.10938,0.42969,1.77344,0.24219,0.55469,3.85938,1.63281,0.875,77.97656,70.41406,99.88281,5.7,1.65,1.975
8.46875,2.05469,1.51563,2.32813,4.16406,0.42188,1.78125,0.23438,0.55469,3.85938,1.63281,0.875,76.75781,71.47656,99.88281,5.7,1.65,1.975
6.60156,1.9375,1.39844,2.32813,4.16406,0.42188,1.78125,0.23438,0.55469,3.875,1.63281,0.88281,76.75781,71.47656,99.88281,5.7,1.65,1.975
6.60156,1.9375,1.39844,2.34375,4.17969,0.42188,1.77344,0.23438,0.55469,3.875,1.63281,0.88281,75.07813,72.53125,99.88281,5.7,1.65,1.975
3.57031,1.4375,1.17969,2.34375,4.17969,0.42188,1.77344,0.23438,0.55469,3.88281,1.63281,0.88281,75.07813,72.53125,99.88281,5.7,1.65,1.975
3.57031,1.4375,1.17969,2.34375,4.14844,0.42188,1.76563,0.23438,0.5625,3.88281,1.63281,0.88281,75.01563,72.34375,99.88281,5.7,1.65,1.975
3.67188,2.00781,1.49219,2.34375,4.14844,0.42188,1.76563,0.23438,0.5625,3.875,1.63281,0.88281,75.01563,72.34375,99.88281,5.7,1.65,1.975
3.67188,2.00781,1.49219,2.34375,4.11719,0.42188,1.75,0.24219,0.5625,3.875,1.63281,0.88281,75.01563,72.73438,99.88281,5.7,1.65,1.975
3.375,2.25781,1.21094,2.34375,4.11719,0.42188,1.75,0.24219,0.5625,3.84375,1.63281,0.88281,75.01563,72.73438,99.88281,5.7,1.65,1.975
3.375,2.25781,1.21094,2.32031,4.09375,0.42969,1.75781,0.24219,0.5625,3.84375,1.63281,0.88281,75.96875,73.53906,99.88281,5.7,1.65,1.975
3.02344,2.49219,0.79688,2.32031,4.09375,0.42969,1.75781,0.24219,0.5625,3.83594,1.64844,0.88281,75.96875,73.53906,99.88281,5.7,1.65,1.975
3.02344,2.49219,0.79688,2.27344,4.07031,0.4375,1.78906,0.24219,0.55469,3.83594,1.64844,0.88281,76.38281,74.41406,99.88281,5.7,1.65,1.975
